,idx,first_pass,solution_words,solution
1110,1110,S oli dalie MA G nani Miami CI,Solidali;e;magnanimi;amici,Solidali e magnanimi amici
1111,1111,A L bachi A rada P R ile,Alba;chiara;d;aprile,Alba chiara d'aprile
1112,1112,SE idra C medici P olle,Sei;dracme;di;Cipolle,Sei dracme di Cipolle
1113,1113,blu S OT tibia N C astri,Blusotti;biancastri,Blusotti biancastri
1114,1114,W onde RF ultime,Wondreful;time;meraviglioso;tempo,Wondreful time (meraviglioso tempo)
1115,1115,S con tris coppia TI assi RO,Scontri;scoppiati;a;S;Siro,Scontri scoppiati a S. Siro
1116,1116,U nappa RTA mento dio T tosta N Z E,Un;appartamento;di;otto;stanze,Un appartamento di otto stanze
1117,1117,ave R E maniero vino SE,Avere;manie;rovinose,Avere manie rovinose
1118,1118,U nari C camini E radura NIO,Una;ricca;miniera;d;uranio,Una ricca miniera d'uranio
1119,1119,chine F A U nane face NTO,Chi;ne;fa;una;ne;fa;cento,Chi ne fa una ne fa fa cento
1120,1120,S api do M E nutrie S tino,Sapido;menu;triestino,Sapido menu triestino
1121,1121,A polo G odi magri P PA,Apologo;di;M;Agrippa,Apologo di M. Agrippa
1122,1122,RO maniero V I gotti,Romani;e;rovigotti,Romani e rovigotti
1123,1123,E vento Amman T A Todi mister O,Evento;ammantato;di;mistero,Evento ammantato di mistero
1124,1124,BI stecca di SUI? no,Bistecca;di;suino,Bistecca di suino
1125,1125,maniero severo N E si,Manierose;veronesi,Manierose veronesi
1126,1126,N uovo V oca BO Lario,Nuovo;vocabolario,Nuovo vocabolario
1127,1127,S pazzo L arpa N T aloni,Spazzolar;pantaloni,Spazzolar pantaloni
1128,1128,C O stie sos I,Costi;esosi,Costi esosi
1129,1129,maiali menta Rodi Osiride Stan Iran cori,Mai;alimentar;odi;i;se;stanziran;c;oricori,Mai alimentar odi i se stanziran c oricori
1130,1130,conta TTO collane V E,Contatto;colla;neve,Contatto colla neve
1131,1131,Volga R est U dente S salice ALE,Volgare;studentessa;liceale,Volgare studentessa liceale
1132,1132,bocca A M ara,Bocca;amara,Bocca amara
1133,1133,AL tosta ND,Alto;stand,Alto stand
1134,1134,A bilico MB attenti,Abili;combattenti,Abili combattenti
1135,1135,T ramo N tiro S si,Tramonti;rossi,Tramonti rossi
1136,1136,CA stagno S eco L are,Castagno;secolare,Castagno secolare
1137,1137,UN apro vari usci TA,Una;provar;uscita,Una provar uscita
1138,1138,IM manica stelline O CL assi C I,Immani;castelli;neoclassici,Immani castelli neoclassici
1139,1139,VA lenti geni E R I,Valenti;genieri,Valenti genieri
1140,1140,est RO Saba ND,Estrosa;band,Estrosa band
1141,1141,uncino D RO mostra pie NO,Un;cinodromo;strapieno,Un cinodromo strapieno
1142,1142,G aia BIS boccia,Gaia;bisboccia,Gaia bisboccia
1143,1143,C attiva A E razione,Cattiva;aerazione,Cattiva aerazione
1144,1144,OT toro maniero ICI,Otto;romani;eroici,Otto romani eroici
1145,1145,ossi GE nari P olmo NI,Ossigenar;i;polmoni,Ossigenar i polmoni
1146,1146,cava L lino DI sarde GNA,Cavallino;di;Sardagna,Cavallino di Sardagna
1147,1147,un quadro del bramante,Un;quadro;del;Bramante,Un quadro del Bramante
1148,1148,RI F lessi LU nari,Riflessi;lunari,Riflessi lunari
1149,1149,in dispensa B I lepre messa,Indispensabile;premessa,Indispensabile premessa
1150,1150,PO Verona U fragola C Ero,Povero;naufrago;lacerò,Povero naufrago lacerò
1151,1151,M anca rea L la PP unta M EN tosta B IL ito,Mancare;all;appuntamento;stabilito,Mancare all'appuntamento stabilito
1152,1152,P re GIA tasto F fa,Pregiata;stoffa,Pregiata stoffa
1153,1153,S O avidi L etti,Soavi;diletti,Soavi diletti
1154,1154,pia N tese C O Lario M B rose,Piante;secolari;ombrose,Piante secolari ombrose
1155,1155,PI attori C olmo DIP asta,Piatto;ricolmo;di;pasta,Piatto ricolmo di pasta
1156,1156,SA mura icona L tris A mura I,Samurai;con;altri;samurai,Samurai con altri samurai
1157,1157,GRA manovella,Grama;novella,Grama novella
1158,1158,UN ari S posta chela S CI ape RP lessi,Una;risposta;che;lascia;perplessi,Una risposta che lascia perplessi
1159,1159,P I attori C olmo,Piatto;ricolmo,Piatto ricolmo
1160,1160,la scia del mas TRO,L;ascia;del;mastro,L'ascia del mastro
1161,1161,Pitt O RE scopa E sedile V ante,Pittorico;paese;di;levante,Pittorico paese di levante
1162,1162,B ellissi mostra DI vari ori T RO va T ore C ente M ente,Bellissimo;stradivario;trovatore;centemente,Bellissimo stradivario trovatore centemente
1163,1163,BOM bachi mi CA,Bomba;chimica,Bomba chimica
1164,1164,A M polli N E dive T Rodi mura NO,Ampolline;di;vetro;di;Murano,Ampolline di vetro di Murano
1165,1165,SAM bachi asso SA,Samba;chiassosa,Samba chiassosa
1166,1166,P Ro testa CI vile,Protesta;civile,Protesta civile
1167,1167,C ultime nono TI,Culti;meno;noti,Culti meno noti
1168,1168,indios I T R ovale terno A M ore,In;Dio;si;trova;l;eterno;amore,In Dio si trova l'eterno amore
1169,1169,Esse rotti Miami Ci,Esser;ottimi;amici,Esser ottimi amici
1170,1170,FOT odi corti NA collane VE,Foto;di;Cortina;Colla;Neve,Foto di Cortina Colla Neve
1171,1171,V E tre rie DI mura NO,Vetriere;di;Murano,Vetriere di Murano
1172,1172,allieve R U more su S sultano I P avidi,Al;lieve;rumore;sussultano;i;pavidi,Al lieve rumore sussultano i pavidi
1173,1173,O pero salice ALE,Operosa;liceale,Operosa liceale
1174,1174,forte nei paraggi di tiro,Forte;nei;paraggi;di;Tiro,Forte nei paraggi di Tiro
1175,1175,AT trave R sarde serti A FRI cani,Attraversar;deserti;africani,Attraversar deserti africani
1176,1176,con su marci Bi Di versi,Consumar;cibi;diversi,Consumar cibi diversi
1177,1177,C alice C olmo,Calice;colmo,Calice colmo
1178,1178,B rio salice ALE,Briosà;liceale,Briosà liceale
1179,1179,porta B L in data S F ondata,Porta;blinda;sfondata,Porta blinda sfondata
1180,1180,B ellissi manovella DI calvi NO,Bellissima;novella;di;Calvino,Bellissima novella di Calvino
1181,1181,Pitt U rare P A reti,Pitturare;pareti,Pitturare pareti
1182,1182,marci A F orzata,Marcia;forzata,Marcia forzata
1183,1183,colli N E collane V E,Colline;colla;neve,Colline colla neve
1184,1184,PA N caschi anta TA,Panca;schiantata,Panca schiantata
1185,1185,Po R T ara M pipa N T aloni,Portar;ampi;pantaloni,Portar ampi pantaloni
1186,1186,O dio satiri T E Ra,Odiosa;tiritera,Odiosa tiritera
1187,1187,PRU dentice NS ori,Prudenti;censori,Prudenti censori
1188,1188,lama E S tram ala C corta,La;maestra;malaccorta,La maestra malaccorta
1189,1189,R ovino S odi S sesto,Rovinoso;dissesso,Rovinoso dissesso
1190,1190,LI bar del porto,Libar;del;porto,Libar del porto
1191,1191,PA rete SF ondata,Parete;sfondata,Parete sfondata
1192,1192,GR ossa BI stecca,Grossa;bistecca,Grossa bistecca
1193,1193,fede radura,Federa;dura,Federa dura
1194,1194,C attiva B urla,Cattiva;burla,Cattiva burla
1195,1195,ZE buco L pitone LD orso,Zebù;colpito;nel;dorso,Zebù colpito nel dorso
1196,1196,BO C caschi U Mosa,Bocca;schiumosa,Bocca schiumosa
1197,1197,VI ruspa TO geni,Virus;patogeni,Virus patogeni
1198,1198,nutrie N T ibisco T tini,Nutrienti;biscottini,Nutrienti biscottini
1199,1199,S Ciad idra G ami N E,Scia;di;dragamine,Scia di dragamine
1200,1200,lato maiali S A,La;tomaia;lisa,La tomaia lisa
1201,1201,A M piramidi CA stagno,Ampi;rami;di;castagno,Ampi rami di castagno
1202,1202,F amo some R catino L ondine S E,Famoso;mercatino;londinese,Famoso mercatino londinese
1203,1203,A M ari esili,Amari;esili,Amari esili
1204,1204,V agave R gogna,Vaga;vergogna,Vaga vergogna
1205,1205,ES serio dio SI,Esseri;odiosi,Esseri odiosi
1206,1206,GL ori O Saba NDI Era,Gloriosa;bandiera,Gloriosa bandiera
1207,1207,L avo RA ree in dispensa BI lepre C etto,Lavorare;è;indispensabile;precetto,Lavorare è indispensabile precetto
1208,1208,atto Renato,Attore;nato,Attore nato
1209,1209,U nano I O satiri T Era,Una;noiosa;tiritera,Una noiosa tiritera
1210,1210,arca nota buco sacco,Arcano;tabù;cosacco,Arcano tabù cosacco
1211,1211,A Lario TTO nati,Alari;ottonati,Alari ottonati
1212,1212,M ante L LO divi S O negri giochi A RO,Mantello;di;visone;grigiò;chiaro,Mantello di visone grigiò grigiò chiaro
1213,1213,malesi O T terra SE malesi F ara,Male;si;otterras;ma;lesi;fa;rara,Male si otterras ma lesi fa rara
1214,1214,in T essere D E ivi mini,Intessere;sei;vimmni,Intessere sei vimmni
1215,1215,B R avidi re TT ori,Bravi;direttori,Bravi direttori
1216,1216,boccia turate muta,Bocciatura;temuta,Bocciatura temuta
1217,1217,N arco T I coperte R A pie,Narcotico;per;terapie,Narcotico per terapie
1218,1218,postino N ancora SCO per TI,Posti;non;ancora;scoperti,Posti non ancora scoperti
1219,1219,testi diva Risi Parietti,Testi;di;vari;siparietti,Testi di vari siparietti
1220,1220,U nano NI manovella,Un;anonima;novella,Un'anonima novella
1221,1221,S per P eroina U dito,Sperpero;inaudito,Sperpero inaudito
1222,1222,BA tosta M E mora B ile,Batosta;memorabile,Batosta memorabile
1223,1223,C olla N T esili coni C O,Collante;siliconico,Collante siliconico
1224,1224,in VA dentice FFI,Invadenti;ceffi,Invadenti ceffi
1225,1225,V agave tra T A,Vaga;vetrata,Vaga vetrata
1226,1226,postino M I nati,Posti;nominati,Posti nominati
1227,1227,uncino F I L otri ES tino,Un;cinofilo;triestino,Un cinofilo triestino
1228,1228,C Risi E cono MI caco LOS sale,Crisi;economica;colossale,Crisi economica colossale
1229,1229,C Risi divo CA zio NE,Crisi;di;vocatione,Crisi di vocatione
1230,1230,U narice TT aperto R telefono V ali G iene isola I,Una;ricetta;per;teli;un;avertimento;ova;ligeni,Una ricetta per teli - un avertimento ova ligeni
1231,1231,prati caci vile,Pratica;civile,Pratica civile
1232,1232,G rana I ori C olmo,Granai;oricolmo,Granai oricolmo
1233,1233,T Ra TT Artemide cono MIA,Trattar;temi;d;economia,Trattar temi d'economia
1234,1234,ami caschi fata,Amica;schifata,Amica schifata
1235,1235,mister I O siepi S odi,Misteriosi;episodi,Misteriosi episodi
1236,1236,ave R E intere S santino TI zie,Avere;interessanti;notizie,Avere interessanti notizie
1237,1237,VOL Ontario pero SI,Volontari;ontori,Volontari ontori
1238,1238,IM bar coperte R re L O N tane,Imbarco;per;terre;lontane,Imbarco per terre lontane
1239,1239,P re SS aperto R chiare,Pressa;per;torchiare,Pressa per torchiare
1240,1240,gallo nero SSO,Gallone;rosso,Gallone rosso
1241,1241,I dea geni A L E,Idea;geniale,Idea geniale
1242,1242,prati C A re del Belgio CO,Praticare;del;bel;gioco,Praticare del bel gioco
1243,1243,pinna CO lima R more I,Pinaccoli;marmorei,Pinaccoli marmorei
1244,1244,squadra granata,Squadra;granata,Squadra granata
1245,1245,lancia IN sos TA,Lancia;in;sosta,Lancia in sosta
1246,1246,lame di Cina in dispensa Bi L E,La;medicina;indispensabile,La medicina indispensabile
1247,1247,Z eroina MO re,Zero;in;amore,Zero in amore
1248,1248,OR Ario N erosi,Orari;onerosi,Orari onerosi
1249,1249,BA Verona S costo Dallas C I arpa,Bavero;nascosto;dalle;sciarpa,Bavero nascosto dalle sciarpa
1250,1250,in dispensa B ile F arma CO,Indispensabile;farmaco,Indispensabile farmaco
1251,1251,CA Pisa mura I,Capi;samurai,Capi samurai
1252,1252,OP eredi C ha gallo S A N nate,Opere;di;Chagall;osannate,Opere di Chagall osannate
1253,1253,G Ra zio Sam IS sesto NE,Graziosa;miss;estone,Graziosa miss estone
1254,1254,C alice C olmo divi NO,Calice;colmo;di;vino,Calice colmo di vino
1255,1255,chiesa G giochi E dee D A,Chi;è;saggio;jiedee;d;A,Chi è saggio jiedee d'A
1256,1256,CAU sarde idolo RI,Causar;dei;dolori,Causar dei dolori
1257,1257,B O C caschi usa,Bocca;schiusa,Bocca schiusa
1258,1258,TR attiva scolari,Tratti;vascolari,Tratti vascolari
1259,1259,dama S coperte N D AG Giove SC ovile,Damasco;per;tendaggio;vescovile,Damasco per tendaggio vescovile
1260,1260,CI oche P oca C osa POC ovale,Ciò;ch;è;poca;cosa;poco;vale,Ciò ch'è poca cosa poco vale
1261,1261,T unica granata,Tunica;granata,Tunica granata
1262,1262,PO Verona N otre N tino,Povero;nano;trentino,Povero nano trentino
1263,1263,fa Cile blu FF,Facile;bluff,Facile bluff
1264,1264,collane B B I avi A G giare epe R I colo SO,Colla;nebbia;viaggiare;è;pericoloso,Colla nebbia viaggiare è pericoloso
1265,1265,S face LI eco N O mici,Sfaceli;economici,Sfaceli economici
1266,1266,I M pie G A tosta T ale,Impiegato;statale,Impiegato statale
1267,1267,G R avidi S turbina S C osti,Gravi;disturb;nascosti,Gravi disturb nascosti
1268,1268,fa L sos T ori CO,Falso;storico,Falso storico
1269,1269,G R avidi sordi N I,Gravi;disordini,Gravi disordini
1270,1270,PO salice NZI osa,Posa;liceziosa,Posa liceziosa
1271,1271,faro pere geni ali,Far;opere;geniali,Far opere geniali
1272,1272,maiali M E N T are L avi O lenza,Mai;alimentare;la;violenza,Mai alimentare la violenza!
1273,1273,buco LI capace,Bucolica;pace,Bucolica pace
1274,1274,C HI avi stelline R I,Chiavistelli;neri,Chiavistelli neri
1275,1275,C ultime di E V ali,Culti;medievali,Culti medievali
1276,1276,B Asti Anco N TR Ario,Bastian;contrario,Bastian contrario
1277,1277,SA grano ST rana,Sagra;nostrana,Sagra nostrana
1278,1278,VER sarda BE re,Versar;da;bere,Versar da bere
1279,1279,buco LI cavi R G I liana,Bucolica;virgiliana,Bucolica virgiliana
1280,1280,ON est agave TTA,Onesta;gavetta,Onesta gavetta
1281,1281,N O vele GG idra coni AN E,Nove;leggi;draconiane,Nove leggi draconiane
1282,1282,Ac C attiva N teso R riso,Accattivante;sorriso,Accattivante sorriso
1283,1283,DA tasto RI carico R data,Data;storica;ricordata,Data storica ricordata
1284,1284,U N api C cola M AN sarda,Una;piccola;mansarda,Una piccola mansarda
1285,1285,para FRA sarde T TI,Parafrasar;detti,Parafrasar detti
1286,1286,T remi gallo N tana TI,Tre;mig;allontanati,Tre mig allontanati
1287,1287,P esca R E collane G ossa,Pescare;colla;negoza,Pescare colla negoza
1288,1288,UN amo S tra colletti vari usci T A,Una;mostra;collettiva;riuscita,Una mostra collettiva riuscita
1289,1289,Pitt O resi M BO lista,Pittore;simbolista,Pittore simbolista
1290,1290,GI O care collane V E,Giocare;colla;neve,Giocare colla neve
1291,1291,C ortica LZO nidi FU stagno,Corti;calzoni;di;fustagno,Corti calzoni di fustagno
1292,1292,F aria LO geni,Fari;alogeni,Fari alogeni
1293,1293,Pitt O rea S T ratto,Pittore;astratto,Pittore astratto
1294,1294,maniero S O F are,Manieroso;fare,Manieroso fare
1295,1295,in TRI catino DI,Intricati;nodi,Intricati nodi
1296,1296,P loto neo R DI nato,Plotone;ordinato,Plotone ordinato
1297,1297,P orto nidi C A stagno,Portoni;di;castagno,Portoni di castagno
1298,1298,TA schede I Pan T aloni,Tasche;dei;pantaloni,Tasche dei pantaloni
1299,1299,ME nutrie S tino,Menu;triestino,Menu triestino
1300,1300,NO IO satiri T Era,Noiosa;tiritera,Noiosa tiritera
1301,1301,D Artemide S ami,Dar;temi;d;esami,Dar temi d'esami
1302,1302,CHI edera LFI danza TO Miami,Chieder;al;fidanzato;Ma;i,Chieder al fidanzato: Ma i?
1303,1303,P agave rame N tela UTA,Paga;veramente;lauta,Paga veramente lauta
1304,1304,O R ari OF lessi B ile,Orario;flessibile,Orario flessibile
1305,1305,C asse D ile G nodi CA stagno,Casse;di;legno;di;castagno,Casse di legno di castagno
1306,1306,SP asso Saba RZ elle TT ara C conta T A,Spassosa;barzelletta;raccontata,Spassosa barzelletta raccontata
1307,1307,mister IO S ora PI mento,Misterioso;rapimento,Misterioso rapimento
1308,1308,Pitt O ree C letti CO,Pittore;eclettico,Pittore eclettico
1309,1309,IN versi O nidi marci A,Inversioni;di;marcia,Inversioni di marcia
1310,1310,PO Verona talea BET L emme,Povero;natale;a;Betlemme,Povero natale a Betlemme
1311,1311,O mici D avo L Ontario,Omicida;volontario,Omicida volontario
1312,1312,capi T AN oche V iene DA LL agave TTA,Capitano;che;viene;dalla;gavetta,Capitano che viene dalla gavetta
1313,1313,buco L I cavi S ione,Bucolica;visione,Bucolica visione
1314,1314,C attiva in CL in azione,Cattiva;inclinazione,Cattiva inclinazione
1315,1315,SP asso sesto RIE,Spassose;storie,Spassose storie
1316,1316,PA catino N N etti,Pacati;nonnetti,Pacati nonnetti
1317,1317,PL agave N tosa,Plaga;venosa,Plaga venosa
1318,1318,cast ELL: ivi SI Tati,Castelli;visitati,Castelli visitati
1319,1319,papi R O L ogiva L enti,Papirologi;valenti,Papirologi valenti
1320,1320,TA voli nodi C A stagno,Tavolino;di;castagno,Tavolino di castagno
1321,1321,mister IS vela TI,Misteri;svelati,Misteri svelati
1322,1322,GA radura,Gara;dura,Gara dura
1323,1323,acca DE Miami L IT are,Accademia;militare,Accademia militare
1324,1324,A bilico M pere,Abili;compere,Abili compere
1325,1325,V A lidi con tracce T T ivi,Validi;contraccettivi,Validi contraccettivi
1326,1326,V agave DO vate D esca,Vaga;vedova;tedesca,Vaga vedova tedesca
1327,1327,tra magri G I A,Trama;grigia,Trama grigia
1328,1328,P loto RI gin A lidi seri A L,Plot;originali;di;serial,Plot originali di serial
1329,1329,P Ro Dotto IN terno lord O,Prodotto;interno;lordo,Prodotto interno lordo
1330,1330,G Ra zio Sam IS sesto NE,Graziosa;miss;estone,Graziosa miss estone
1331,1331,testa RA P para TI M ultime DI ali,Testar;apparati;multimediali,Testar apparati multimediali
1332,1332,A la crema N ovale,Alacre;manovale,Alacre manovale
1333,1333,PRI manovella E dita,Prima;novella;edita,Prima novella edita
1334,1334,E N orme di vari ovini C O L O,Enorme;divario;vinicolo,Enorme divario vinicolo
1335,1335,P loto N edile Giona RI,Plotone;di;legionari,Plotone di legionari
1336,1336,TUR bachi asso SA,Turba;chiassosa,Turba chiassosa
1337,1337,S coppia rei NU N pia NT odi SP Erato,Scoppiare;in;un;pianto;disperato,Scoppiare in un pianto disperato
1338,1338,GR avidi S tacchi,Gravi;distacchi,Gravi distacchi
1339,1339,D est arpe R P lessi T A,Destar;perplessità,Destar perplessità
1340,1340,TI pipe N siero sieri F lessi VI,Tipi;pensierosi;e;riflessivi,Tipi pensierosi e riflessivi
1341,1341,ZAP parete R radura,Zappare;terra;dura,Zappare terra dura
1342,1342,case L Lario R D I nati,Casellari;ordinati,Casellari ordinati
1343,1343,federa FF orzata SI,Fede;rafforzatasi,Fede rafforzatasi
1344,1344,Ero I C idra P Pellico STR etti ari T IR arsi,Eroici;drappelli;costretti;a;ritirarsi,Eroici drappelli costretti a ritirarsi
1345,1345,mister I osa F in E,Misteriosa;fine,Misteriosa fine
1346,1346,BI stecca PA nata,Bistecca;panata,Bistecca panata
1347,1347,T O maiali sci A,Tomaia;Liscia,Tomaia Liscia
1348,1348,Magnani Miami coni,Magnanimi;amiconi,Magnanimi amiconi
1349,1349,E Sam IN Artemide P oche remo TE,Esaminar;temi;d;epoche;remote,Esaminar temi d'epoche remote
1350,1350,EN orme di S sesto,Enorme;dissesto,Enorme dissesto
1351,1351,GR avidi S A stria E rei,Gravi;disastri;aerei,Gravi disastri aerei
1352,1352,P Ro Dotto Vega NO,Prodotto;vegano,Prodotto vegano
1353,1353,N E grano B ile,Negra;nobile,Negra nobile
1354,1354,S triglia redi P EN denti,Strigliare;dipendenti,Strigliare dipendenti
1355,1355,ALB eroina RI dito,Albero;inaridito,Albero inaridito
1356,1356,GI oca tori O R maiali vello SU peri ORE,Giocatori;ormai;a;livello;superiore,Giocatori ormai a livello superiore
1357,1357,passa C agli ad I bachi N E dita,Passacaglia;di;Bach;inedita,Passacaglia di Bach inedita
1358,1358,ULTi manovella DiPi randello,Ultima;novella;di;Pirandello,Ultima novella di Pirandello
1359,1359,B RE veli T I giochi asso SO,Breve;litigio;chiassoso,Breve litigio chiassoso
1360,1360,CA stelline LL are nani A,Castelli;nella;Renania,Castelli nella Renania
1361,1361,T Ra TT Artemide LL Api TT Urano ST Ra,Trattar;temi;della;pittura;astrale,Trattar temi della pittura astrale
1362,1362,S oggetti vari con F erma,Soggetti;vari conferma,Soggetti vari conferma
1363,1363,pinna S C osti,Pin;nascosti,Pin nascosti
1364,1364,epe R I colo SO re S T Ares chiavi del ladro G A,È;pericoloso;restare;schiavi;della;droga,È pericoloso restare schiavi della droga
1365,1365,STU Diogene R I coperte N ori,Studio;generico;per;tenori,Studio generico per tenori
1366,1366,su A dentice N nidi N tesa,Suadenti;cenni;d;intesa,Suadenti cenni d'intesa
1367,1367,P olmo NI tea TI pica,Polmonite;atipica,Polmonite atipica
1368,1368,EVI dentice su RE,Evidenti;cesure,Evidenti cesure
1369,1369,EVI dentice D I menti,Evidenti;cedimenti,Evidenti cedimenti
1370,1370,maiali menta telo dio,Mai;alimentate;l;odio,Mai alimentate l'odio
1371,1371,Pitt O RE Scola GH etto,Pittorescò;laghetto,Pittorescò laghetto
1372,1372,U TI lepri vile GIO,Utile;privilegio,Utile privilegio
1373,1373,SB aglio in VOL Ontario,Sbaglio;involontario,Sbaglio involontario
1374,1374,marcia in granata,Marcia;ingranata,Marcia ingranata
1375,1375,papi LL onde LI zio SO,Papillon;delicioso,Papillon delicioso
1376,1376,EFA Cile Per uncino filo D I vaglia cono S ceri C A nidi R azza,È;facile;per;un;cinofilo;di;vaglia;conoscer;i;cani;di;razza,È facile per un cinofilo di vaglia conoscer i cani di razza
1377,1377,Lussu O Saba RCA,Lussuosa;barca,Lussuosa barca
1378,1378,boccia T U rape S ante,Bocciatura;pesante,Bocciatura pesante
1379,1379,la pinna T Ural E,Lapin;naturale,Lapin naturale
1380,1380,Pitt O Reno TO,Pittore;noto,Pittore noto
1381,1381,geni T ori A U tori T ari,Genitori;autoritari,Genitori autoritari
1382,1382,PA L coperte S timoni,Palco;per;testimoni,Palco per testimoni
1383,1383,BIS boccia trave R IA mici,Bisbocci;tra;veri;amici,Bisbocci tra veri amici
1384,1384,MOS salice NZI osa,Mossa;licenziosa,Mossa licenziosa
1385,1385,C asso N etti S P orchi,Cassonetti;sporchi,Cassonetti sporchi
1386,1386,A ironiche MI grano,Aironi;che;migrano,Aironi che migrano
1387,1387,pinna CO lidi M I NA reti,Pinnacoli;di;minareti,Pinnacoli di minareti
1388,1388,PAS sarda VE rospi L orcio,Passar;da;vero;spilorcio,Passar da vero spilorcio
1389,1389,E cono Miami G LI orata,Economia;migliorata,Economia migliorata
1390,1390,buco LIC asce N avi RG I liana,Bucolica;scena;virgiliana,Bucolica scena virgiliana
1391,1391,tuba T U ras coppia TA,Tubatura;scapatata,Tubatura scapatata
1392,1392,AS salice NT R ali,Assali;centrali,Assali centrali
1393,1393,la G N O satiri T Era,Lagnosa;tiritera,Lagnosa tiritera
1394,1394,S corta dono RE,Scorta;d;onore,Scorta d'onore
1395,1395,dispensa conforto R ed I agli O,Dispensa;con;forte;di;aglio,Dispensa con forte di aglio
1396,1396,blu sali SA,Blusa;lisa,Blusa lisa
1397,1397,perso N A lesa NIT Ario,Personale;sanitario,Personale sanitario
1398,1398,S E malesi FA Malesia,Se;male;si;fa;male;si;a,"Se male si fa, male si a"
1399,1399,mister OI N sol ut O,Mistero;insoluto,Mistero insoluto
1400,1400,PAS santino T T urne,Passanti;notturne,Passanti notturne
1401,1401,SI eroina CI dito,Siero;inacidito,Siero inacidito
1402,1402,losca foca Renato,Lo;scafò;Carenato,Lo scafò Carenato
1403,1403,U nero I caschi E radio P Po SI tori,Un;erocio;schierà;di;oppositori,Un'erocio schierà di oppositori
1404,1404,S tre N uovo L Ontario,Strenuo;volonterio,Strenuo volonterio
1405,1405,legge R api U magri GI A,Leggera;piuma;grigià,Leggera piuma grigià
1406,1406,postino N asse G N Ati,Posti;non;assegnati,Posti non assegnati
1407,1407,in Audi testo RI ed ivi O lenza,Inaudite;storie;di;violenza,Inaudite storie di violenza
1408,1408,P Ro Dotto S oste NIB ile,Prodotto;sostenibile,Prodotto sostenibile
1409,1409,NIS santino,Nissan;tino,Nissan tino
1410,1410,CO sacco del don,Cosacco;del;Don,Cosacco del Don
1411,1411,AU tomo bilico R azza TE,Automobile;corazzate,Automobile corazzate
1412,1412,F Artemide C O rosi,Far;temi;decorosi,Far temi decorosi
1413,1413,S tori E duna LTE rosa mura I,Storie;d;un;alterosa;murai,Storie d'un alterosa murai
1414,1414,M in IST risotto S corta,Ministri;sotto;scorta,Ministri sotto scorta
1415,1415,IL basto neve S CO vile,Il;bastone;vescovile,Il bastone vescovile
1416,1416,BOC caschi U M ante,Bocca;schiumante,Bocca schiumante
1417,1417,faccia mogia I conti C olmo N D odi D O mani,Facciamo;gli;a;conti;col;mondo;di;domani,Facciamo gli a conti col mondo di domani
1418,1418,grano dio,Grano;dio,Grano dio
1419,1419,P arti CO Lario D ori,Particolari;odori,Particolari odori
1420,1420,F arpe C catino N GR avi,Far;peccati;non;gravi,Far peccati non gravi
1421,1421,LA mento satiri T E Ra,Lamentosa;titera,Lamentosa titera
1422,1422,mister I O some S saggio,Misterioso;messaggio,Misterioso messaggio
1423,1423,Papi LL ondata T I,Papillon;datati,Papillon datati
1424,1424,dama S coperte NDE,Damasco;per;tende,Damasco per tende
1425,1425,P Ro Dotto LOC Ale,Prodotto;locale,Prodotto locale
1426,1426,S coppia S sai VI olenti,Scoppia;sassai;violenti,Scoppia sassai violenti
1427,1427,A gilet OR eroina zio NE,Agile;torero;in;azione,Agile torero in azione
1428,1428,G Ra N dea radura NO,Grande;ara;d;Urano,Grande ara d'Urano
1429,1429,C api dive S TI Ario,Capi;di;vestiario,Capi di vestiario
1430,1430,LO gin in dispensa B ile,Log;in;indispensabile,Log-in - in indispensabile
1431,1431,"su DIC, ivi si volga RI",Sudici;visi;volgari,Sudici visi volgari
1432,1432,MO bilico M Po NI bilico M pera tiara TE,Mobili;componibili;comperati;a;rate,Mobili componibili comperati a rate
1433,1433,uncino Fi lobo LI via NO,Un;cinofilo;boliviano,Un cinofilo boliviano
1434,1434,P arto in Dotto,Parto;indotto,Parto indotto
1435,1435,IL Lazio nei N F ondata,Illazione;infondata,Illazione infondata
1436,1436,U nave trina S F ondata,Una;vetrina;sfondata,Una vetrina sfondata
1437,1437,esili A R epa trio TI,Esiliare;patrioti,Esiliare patrioti
1438,1438,C O stole T tasto P posa,Costoletta;stopposa,Costoletta stopposa
1439,1439,serio S T A coli,Seri;ostacoli,Seri ostacoli
1440,1440,C ariete neri S SI Miami CI,Cari;e;tenerissimi;amici,Cari e tenerissimi amici
1441,1441,marci A rapa SS oca D Enza TO,Marcia;r;apasso;cadenzato,Marcia r apasso cadenzato
1442,1442,unti P I come R catino,Un;tipico;mercatino,Un tipico mercatino
1443,1443,barba RI caschi E RA,Barbarica;schiera,Barbarica schiera
1444,1444,RAM odi CA stagno,Ramo;di;castagno,Ramo di castagno
1445,1445,AF fa RI stie sos I,Affaristi;esosi,Affaristi esosi
1446,1446,treno V Elle bocca C C esche,Tre;novelle;boccacesche,Tre novelle boccacesche
1447,1447,NE grano I osa,Negra;noiosa,Negra noiosa
1448,1448,LIN dama N sarda,Linda;mansarda,Linda mansarda
1449,1449,C anca NF Renato,Cancan;frenato,Cancan frenato
1450,1450,maiali N O pia ceri M E dio,Mai;a;l;inopia;c;è;rimedio,Mai a l'inopia c'è è rimedio
1451,1451,D are L est REM ovale,Dare;l;estremo;vale,Dare l'estremo vale
